"filename", "language", "JSON", "Markdown", "PowerShell", "YAML", "Shell Script", "CMake", "C++", "JavaScript", "Dart", "Batch", "HTML", "Swift", "XML", "Properties", "comment", "blank", "total"
"c:\Desktop\plink\flutter 11\lib\utils\post_validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 32, 50, 313
"c:\Desktop\plink\flutter 11\lib\web_platform_fix.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 7
"c:\Desktop\plink\flutter 11\lib\widgets\account_badges.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 474, 0, 0, 0, 0, 0, 13, 34, 521
"c:\Desktop\plink\flutter 11\lib\widgets\animated_gradient_background.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 10, 72
"c:\Desktop\plink\flutter 11\lib\widgets\audio_visualizer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 2, 16, 124
"c:\Desktop\plink\flutter 11\lib\widgets\aurora_background.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 17, 34, 269
"c:\Desktop\plink\flutter 11\lib\widgets\business\business_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 690, 0, 0, 0, 0, 0, 23, 38, 751
"c:\Desktop\plink\flutter 11\lib\widgets\conversational_clarification_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 359, 0, 0, 0, 0, 0, 8, 16, 383
"c:\Desktop\plink\flutter 11\lib\widgets\edit_profile_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 954, 0, 0, 0, 0, 0, 33, 65, 1052
"c:\Desktop\plink\flutter 11\lib\widgets\edit_profile_bottom_sheet_backup.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 530, 0, 0, 0, 0, 0, 19, 36, 585
"c:\Desktop\plink\flutter 11\lib\widgets\edit_profile_bottom_sheet_new.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 928, 0, 0, 0, 0, 0, 27, 66, 1021
"c:\Desktop\plink\flutter 11\lib\widgets\floating_particles.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 4, 22, 134
"c:\Desktop\plink\flutter 11\lib\widgets\glassmorphic_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 20, 303
"c:\Desktop\plink\flutter 11\lib\widgets\liquid_wave_orb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 20, 43, 262
"c:\Desktop\plink\flutter 11\lib\widgets\match_card_with_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 18, 28, 316
"c:\Desktop\plink\flutter 11\lib\widgets\offline_indicator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 4, 18, 219
"c:\Desktop\plink\flutter 11\lib\widgets\optimized_conversation_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 491, 0, 0, 0, 0, 0, 13, 58, 562
"c:\Desktop\plink\flutter 11\lib\widgets\performance_overlay_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 2, 41, 288
"c:\Desktop\plink\flutter 11\lib\widgets\persistent_keyboard_wrapper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 2, 8, 74
"c:\Desktop\plink\flutter 11\lib\widgets\professional\add_portfolio_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 925, 0, 0, 0, 0, 0, 23, 57, 1005
"c:\Desktop\plink\flutter 11\lib\widgets\professional\add_service_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 878, 0, 0, 0, 0, 0, 21, 52, 951
"c:\Desktop\plink\flutter 11\lib\widgets\professional\portfolio_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 599, 0, 0, 0, 0, 0, 16, 26, 641
"c:\Desktop\plink\flutter 11\lib\widgets\professional\send_inquiry_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 440, 0, 0, 0, 0, 0, 10, 30, 480
"c:\Desktop\plink\flutter 11\lib\widgets\professional\service_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 480, 0, 0, 0, 0, 0, 17, 26, 523
"c:\Desktop\plink\flutter 11\lib\widgets\professional\write_review_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 451, 0, 0, 0, 0, 0, 11, 32, 494
"c:\Desktop\plink\flutter 11\lib\widgets\profile_detail_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 829, 0, 0, 0, 0, 0, 37, 50, 916
"c:\Desktop\plink\flutter 11\lib\widgets\safe_circle_avatar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 6, 8, 109
"c:\Desktop\plink\flutter 11\lib\widgets\shimmer_effect.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 10, 68
"c:\Desktop\plink\flutter 11\lib\widgets\simple_voice_orb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 1, 13, 149
"c:\Desktop\plink\flutter 11\lib\widgets\user_avatar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 4, 6, 101
"c:\Desktop\plink\flutter 11\lib\widgets\voice_orb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 6, 24, 273
"c:\Desktop\plink\flutter 11\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Desktop\plink\flutter 11\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Desktop\plink\flutter 11\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Desktop\plink\flutter 11\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Desktop\plink\flutter 11\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Desktop\plink\flutter 11\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Desktop\plink\flutter 11\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Desktop\plink\flutter 11\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Desktop\plink\flutter 11\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Desktop\plink\flutter 11\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 3, 4, 63
"c:\Desktop\plink\flutter 11\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Desktop\plink\flutter 11\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Desktop\plink\flutter 11\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Desktop\plink\flutter 11\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Desktop\plink\flutter 11\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Desktop\plink\flutter 11\project_memory\PROJECT_MEMORY.md", "Markdown", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 152
"c:\Desktop\plink\flutter 11\project_memory\README.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 85
"c:\Desktop\plink\flutter 11\pubspec.yaml", "YAML", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 26, 163
"c:\Desktop\plink\flutter 11\scripts\performance_test.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Desktop\plink\flutter 11\scripts\performance_test.sh", "Shell Script", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 68
"c:\Desktop\plink\flutter 11\scripts\update_version.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 9, 13, 71
"c:\Desktop\plink\flutter 11\scripts\update_version.sh", "Shell Script", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 73
"c:\Desktop\plink\flutter 11\test\performance\scroll_performance_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 12, 23, 109
"c:\Desktop\plink\flutter 11\test\test_helpers.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 5, 10, 77
"c:\Desktop\plink\flutter 11\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 10, 20, 214
"c:\Desktop\plink\flutter 11\web\firebase-messaging-sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Desktop\plink\flutter 11\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 18, 11, 66
"c:\Desktop\plink\flutter 11\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Desktop\plink\flutter 11\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Desktop\plink\flutter 11\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Desktop\plink\flutter 11\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 5, 51
"c:\Desktop\plink\flutter 11\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Desktop\plink\flutter 11\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Desktop\plink\flutter 11\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Desktop\plink\flutter 11\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Desktop\plink\flutter 11\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Desktop\plink\flutter 11\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Desktop\plink\flutter 11\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Desktop\plink\flutter 11\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Desktop\plink\flutter 11\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
